country,code,iso3,year,value,growth_value,growth_percentage
American Samoa,ASM,ASM,1962,21253,,
American Samoa,ASM,ASM,1963,22034,781.0,3.6747753258363547
American Samoa,ASM,ASM,1964,22854,820.0,3.7215212852863777
American Samoa,ASM,ASM,1965,23672,818.0,3.5792421457950363
American Samoa,ASM,ASM,1966,24462,790.0,3.3372761067928414
American Samoa,ASM,ASM,1967,25248,786.0,3.2131469217561826
American Samoa,ASM,ASM,1968,25989,741.0,2.934885931558928
American Samoa,ASM,ASM,1969,26703,714.0,2.7473161722267214
American Samoa,ASM,ASM,1970,27363,660.0,2.4716324008538404
American Samoa,ASM,ASM,1971,27984,621.0,2.269487994737429
American Samoa,ASM,ASM,1972,28567,583.0,2.083333333333326
American Samoa,ASM,ASM,1973,29100,533.0,1.8657891973255847
American Samoa,ASM,ASM,1974,29596,496.0,1.7044673539518884
American Samoa,ASM,ASM,1975,30052,456.0,1.5407487498310557
American Samoa,ASM,ASM,1976,30456,404.0,1.344336483428732
American Samoa,ASM,ASM,1977,30838,382.0,1.2542684528500159
American Samoa,ASM,ASM,1978,31269,431.0,1.3976263052078552
American Samoa,ASM,ASM,1979,31845,576.0,1.8420800153506667
American Samoa,ASM,ASM,1980,32646,801.0,2.5153085256712115
American Samoa,ASM,ASM,1981,33701,1055.0,3.2316363413588123
American Samoa,ASM,ASM,1982,34968,1267.0,3.759532358090256
American Samoa,ASM,ASM,1983,36412,1444.0,4.129489819263332
American Samoa,ASM,ASM,1984,37946,1534.0,4.212896847193237
American Samoa,ASM,ASM,1985,39519,1573.0,4.145364465292789
American Samoa,ASM,ASM,1986,41119,1600.0,4.04868544244541
American Samoa,ASM,ASM,1987,42740,1621.0,3.942216493591766
American Samoa,ASM,ASM,1988,44343,1603.0,3.75058493214786
American Samoa,ASM,ASM,1989,45894,1551.0,3.4977335768892504
American Samoa,ASM,ASM,1990,47347,1453.0,3.165991197106366
American Samoa,ASM,ASM,1991,48685,1338.0,2.825944621623333
American Samoa,ASM,ASM,1992,49896,1211.0,2.487419122933132
American Samoa,ASM,ASM,1993,51020,1124.0,2.252685586018921
American Samoa,ASM,ASM,1994,52095,1075.0,2.107016856134858
American Samoa,ASM,ASM,1995,53161,1066.0,2.046261637393232
American Samoa,ASM,ASM,1996,54211,1050.0,1.9751321457459392
American Samoa,ASM,ASM,1997,55221,1010.0,1.8630905166848066
American Samoa,ASM,ASM,1998,56171,950.0,1.7203600079679804
American Samoa,ASM,ASM,1999,57053,882.0,1.570205266062552
American Samoa,ASM,ASM,2000,57821,768.0,1.3461167686186437
American Samoa,ASM,ASM,2001,58494,673.0,1.1639369779145925
American Samoa,ASM,ASM,2002,59080,586.0,1.0018121516736755
American Samoa,ASM,ASM,2003,59504,424.0,0.7176709546377724
American Samoa,ASM,ASM,2004,59681,177.0,0.2974589943533168
American Samoa,ASM,ASM,2005,59562,-119.0,-0.19939344179890073
American Samoa,ASM,ASM,2006,59107,-455.0,-0.7639098754239293
American Samoa,ASM,ASM,2007,58365,-742.0,-1.255350466103844
American Samoa,ASM,ASM,2008,57492,-873.0,-1.4957594448727796
American Samoa,ASM,ASM,2009,56683,-809.0,-1.4071522994503538
American Samoa,ASM,ASM,2010,56079,-604.0,-1.0655752165552257
American Samoa,ASM,ASM,2011,55759,-320.0,-0.5706235845860275
American Samoa,ASM,ASM,2012,55667,-92.0,-0.16499578543374138
"Bahamas, The",BHS,BHS,1962,121091,,
"Bahamas, The",BHS,BHS,1963,127339,6248.0,5.159755886069162
"Bahamas, The",BHS,BHS,1964,133709,6370.0,5.00239518136627
"Bahamas, The",BHS,BHS,1965,140059,6350.0,4.749119356213871
"Bahamas, The",BHS,BHS,1966,146382,6323.0,4.51452602117679
"Bahamas, The",BHS,BHS,1967,152620,6238.0,4.261452910877028
"Bahamas, The",BHS,BHS,1968,158648,6028.0,3.94967894116105
"Bahamas, The",BHS,BHS,1969,164268,5620.0,3.5424335636125237
"Bahamas, The",BHS,BHS,1970,169377,5109.0,3.1101614434947855
"Bahamas, The",BHS,BHS,1971,173889,4512.0,2.6638799837049865
"Bahamas, The",BHS,BHS,1972,177866,3977.0,2.28709119035706
"Bahamas, The",BHS,BHS,1973,181517,3651.0,2.05266886307669
"Bahamas, The",BHS,BHS,1974,185120,3603.0,1.9849380498796254
"Bahamas, The",BHS,BHS,1975,188896,3776.0,2.039757994814173
"Bahamas, The",BHS,BHS,1976,192909,4013.0,2.1244494324919483
