country,code,iso3,year,value,growth_value,growth_percentage
Kazakhstan,KAZ,KAZ,1965,11841920,,
Kazakhstan,KAZ,KAZ,1966,12132559,290639.0,2.4543232854131736
Kazakhstan,KAZ,KAZ,1967,12385710,253151.0,2.0865425010502703
Kazakhstan,KAZ,KAZ,1968,12611426,225716.0,1.8223904806426106
Kazakhstan,KAZ,KAZ,1969,12824606,213180.0,1.690371889745057
Kazakhstan,KAZ,KAZ,1970,13036139,211533.0,1.6494307895306815
Kazakhstan,KAZ,KAZ,1971,13250213,214074.0,1.6421580039918338
Kazakhstan,KAZ,KAZ,1972,13463985,213772.0,1.6133476495811871
Kazakhstan,KAZ,KAZ,1973,13673007,209022.0,1.5524527099517682
Kazakhstan,KAZ,KAZ,1974,13869975,196968.0,1.4405609534172026
Kazakhstan,KAZ,KAZ,1975,14050226,180251.0,1.2995769639094545
Kazakhstan,KAZ,KAZ,1976,14212145,161919.0,1.1524298612705541
Kazakhstan,KAZ,KAZ,1977,14359624,147479.0,1.0376969838120864
Kazakhstan,KAZ,KAZ,1978,14499952,140328.0,0.9772400725812869
Kazakhstan,KAZ,KAZ,1979,14643133,143181.0,0.9874584412417287
Kazakhstan,KAZ,KAZ,1980,14796174,153041.0,1.0451383593934382
Kazakhstan,KAZ,KAZ,1981,14958908,162734.0,1.09983837713723
Kazakhstan,KAZ,KAZ,1982,15128087,169179.0,1.130958222351519
Kazakhstan,KAZ,KAZ,1983,15303309,175222.0,1.1582561628578736
Kazakhstan,KAZ,KAZ,1984,15483419,180110.0,1.1769350014431579
Kazakhstan,KAZ,KAZ,1985,15665595,182176.0,1.1765876774374018
Kazakhstan,KAZ,KAZ,1986,15852525,186930.0,1.1932518362692157
Kazakhstan,KAZ,KAZ,1987,16039251,186726.0,1.177894373293853
Kazakhstan,KAZ,KAZ,1988,16206002,166751.0,1.0396433100273716
Kazakhstan,KAZ,KAZ,1989,16249500,43498.0,0.2684067298029502
Kazakhstan,KAZ,KAZ,1990,16348000,98500.0,0.6061724976153204
Kazakhstan,KAZ,KAZ,1991,16450500,102500.0,0.6269880107658388
Kazakhstan,KAZ,KAZ,1992,16439095,-11405.0,-0.06932919972036933
Kazakhstan,KAZ,KAZ,1993,16330419,-108676.0,-0.6610826204240583
